,matchday,home_team,away_team,season,competition,correct_score,1N2_1,1N2_N,1N2_2,home_team_rank_FIFA,away_team_rank_FIFA,home_team_trend,away_team_trend,home_team_odd_trend,away_team_odd_trend,target,best_odd_won,corr_score_home,corr_score_away
3678,2018-06-30,Uruguay,Portugal,2018,world-cup,2:1,3.02,2.96,2.71,13.166666666666666,4.75,6.0,9.0,2.49,2.715,0.0,False,0.7857142857142857,0.986666070043373
3679,2018-07-01,Croatia,Denmark,2018,world-cup,2:1,1.96,3.21,4.66,11.083333333333334,11.333333333333334,12.0,9.0,3.3075,2.6025,0.0,True,0.9851360785181464,0.98838149080864
3680,2018-07-01,Spain,Russia,2018,world-cup,1:2,1.58,4.07,6.29,7.916666666666667,55.75,9.0,9.0,4.125,3.42,2.0,False,0.9733596747925446,0.991964898290899
3681,2018-07-02,Belgium,Japan,2018,world-cup,3:2,1.41,4.67,8.66,2.9166666666666665,53.91666666666666,12.0,9.0,2.6475,2.785,0.0,True,0.9204826764858683,0.9212542028409479
3682,2018-07-02,Brazil,Mexico,2018,world-cup,2:0,1.48,4.37,7.5,2.583333333333333,15.583333333333334,9.0,9.0,4.005,1.4449999999999998,0.0,True,0.9954543130867585,0.9990426906465364
3683,2018-07-03,Colombia,England,2018,world-cup,1:2,4.03,3.09,2.14,13.916666666666666,10.0,9.0,9.0,2.73,2.565,2.0,True,0.9671611198538264,0.9490183559041601
3684,2018-07-03,Sweden,Switzerland,2018,world-cup,1:0,3.32,2.93,2.52,18.33333333333333,7.5,9.0,9.0,1.905,2.3825,0.0,False,0.9923312563141787,0.9933992677987828
3686,2018-07-06,Uruguay,France,2018,world-cup,0:2,4.62,3.09,2.01,13.166666666666666,4.833333333333333,9.0,9.0,2.845,2.7275,2.0,True,0.7857142857142857,0.9990988604457783
3687,2018-07-06,Brazil,Belgium,2018,world-cup,1:2,2.11,3.41,3.68,2.583333333333333,2.9166666666666665,9.0,9.0,2.61,2.225,2.0,False,0.9954543130867585,0.9204826764858683
3688,2018-07-07,Sweden,England,2018,world-cup,0:2,5.06,3.35,1.84,18.33333333333333,10.0,9.0,12.0,1.9525,1.995,2.0,True,0.9923312563141787,0.9490183559041601
3689,2018-07-07,Russia,Croatia,2018,world-cup,2:3,4.03,3.15,2.12,55.75,11.083333333333334,9.0,12.0,1.98,2.455,2.0,True,0.991964898290899,0.9851360785181464
3690,2018-07-10,France,Belgium,2018,world-cup,1:0,2.57,3.12,3.03,4.833333333333333,2.9166666666666665,9.0,6.0,2.275,2.0925,0.0,True,0.9990988604457783,0.9204826764858683
3691,2018-07-11,Croatia,England,2018,world-cup,2:1,3.84,2.98,2.27,11.083333333333334,10.0,9.0,6.0,2.865,2.775,0.0,False,0.9851360785181464,0.9490183559041601
3693,2018-07-14,Belgium,England,2018,world-cup,2:0,2.19,3.74,3.2,2.9166666666666665,10.0,12.0,9.0,2.1125,2.3575,0.0,True,0.9204826764858683,0.9490183559041601
3694,2018-07-15,France,Croatia,2018,world-cup,4:2,2.13,3.07,4.17,4.833333333333333,11.083333333333334,9.0,9.0,2.16,1.93,0.0,True,0.9990988604457783,0.9851360785181464
