Game,Competition,Score,opening,closing
dominica-bahamas-b9i6Wbxn,concacaf-nations-league-2019-2020,3.5,1.3800000000000001,1.3557142857142856
dominica-bahamas-b9i6Wbxn,concacaf-nations-league-2019-2020,1.5,3.682857142857143,3.682857142857143
dominica-bahamas-b9i6Wbxn,concacaf-nations-league-2019-2020,5.5,1.042,1.042
dominica-bahamas-b9i6Wbxn,concacaf-nations-league-2019-2020,6.5,1.01,1.01
dominica-bahamas-b9i6Wbxn,concacaf-nations-league-2019-2020,4.5,1.125,1.125
dominica-bahamas-b9i6Wbxn,concacaf-nations-league-2019-2020,0.5,10.333333333333334,10.333333333333334
dominica-bahamas-b9i6Wbxn,concacaf-nations-league-2019-2020,1,8.1,8.1
dominica-bahamas-b9i6Wbxn,concacaf-nations-league-2019-2020,2,2.85,2.85
dominica-bahamas-b9i6Wbxn,concacaf-nations-league-2019-2020,4,1.18,1.18
guyana-belize-fyoFUx7b,concacaf-nations-league-2019-2020,2.5,1.8691666666666666,1.8625
guyana-belize-fyoFUx7b,concacaf-nations-league-2019-2020,0.5,1.02,1.0250000000000001
guyana-belize-fyoFUx7b,concacaf-nations-league-2019-2020,1.5,1.2757142857142856,1.2757142857142856
guyana-belize-fyoFUx7b,concacaf-nations-league-2019-2020,5.5,9.4,9.4
guyana-belize-fyoFUx7b,concacaf-nations-league-2019-2020,4.5,5.75,5.75
guyana-belize-fyoFUx7b,concacaf-nations-league-2019-2020,6.5,15.0,15.0
guyana-belize-fyoFUx7b,concacaf-nations-league-2019-2020,3.5,3.182857142857143,3.182857142857143
guyana-belize-fyoFUx7b,concacaf-nations-league-2019-2020,3,2.5,2.49
guyana-belize-fyoFUx7b,concacaf-nations-league-2019-2020,2,1.43,1.43
guyana-belize-fyoFUx7b,concacaf-nations-league-2019-2020,4,4.8,4.77
guyana-belize-fyoFUx7b,concacaf-nations-league-2019-2020,1,1.06,1.06
guyana-belize-fyoFUx7b,concacaf-nations-league-2019-2020,2.5,1.8675,1.8608333333333336
guyana-belize-fyoFUx7b,concacaf-nations-league-2019-2020,0.5,10.166666666666666,9.666666666666666
guyana-belize-fyoFUx7b,concacaf-nations-league-2019-2020,1.5,3.442857142857143,3.442857142857143
guyana-belize-fyoFUx7b,concacaf-nations-league-2019-2020,5.5,1.032,1.032
guyana-belize-fyoFUx7b,concacaf-nations-league-2019-2020,4.5,1.1083333333333334,1.1083333333333334
guyana-belize-fyoFUx7b,concacaf-nations-league-2019-2020,6.5,1.01,1.01
